"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Município";"Ano x Produto das lavouras temporárias e permanentes"
"Município";"2024"
"Município";"Total";"Café (em grão) Total";"Cana-de-açúcar";"Milho (em grão)";"Soja (em grão)"
"Pimenteiras do Oeste (RO)";"114024";"18";"3";"41205";"64000"
"Primavera de Rondônia (RO)";"1078";"180";"2";"210";"542"
"São Felipe D'Oeste (RO)";"6277";"207";"1";"2860";"2851"
"São Francisco do Guaporé (RO)";"17557";"783";"-";"5960";"9461"
"Seringueiras (RO)";"10393";"1321";"6";"3280";"4562"
"Teixeirópolis (RO)";"180";"46";"3";"5";"-"
"Theobroma (RO)";"4378";"320";"30";"1343";"1900"
"Urupá (RO)";"404";"118";"5";"120";"-"
"Vale do Anari (RO)";"7027";"330";"30";"2277";"3568"
"Vale do Paraíso (RO)";"302";"120";"5";"10";"-"
"Acrelândia (AC)";"3849";"550";"25";"1100";"25"
"Assis Brasil (AC)";"1709";"45";"14";"585";"-"
"Brasiléia (AC)";"3793";"80";"12";"1980";"-"
"Bujari (AC)";"2775";"4";"38";"1300";"-"
"Capixaba (AC)";"7938";"7";"30";"3300";"3200"
"Cruzeiro do Sul (AC)";"4633";"32";"30";"710";"273"
"Epitaciolândia (AC)";"3697";"35";"11";"1900";"300"
"Feijó (AC)";"6084";"42";"20";"2800";"-"
"Jordão (AC)";"1221";"-";"8";"480";"-"
"Mâncio Lima (AC)";"3100";"75";"20";"450";"-"
"Manoel Urbano (AC)";"1747";"60";"14";"650";"-"
"Marechal Thaumaturgo (AC)";"3068";"-";"25";"500";"-"
"Plácido de Castro (AC)";"11571";"45";"13";"4100";"6200"
"Porto Walter (AC)";"1412";"9";"12";"200";"-"
"Rio Branco (AC)";"7429";"5";"28";"3500";"1660"
"Rodrigues Alves (AC)";"3045";"-";"15";"450";"-"
"Santa Rosa do Purus (AC)";"913";"-";"10";"300";"-"
"Senador Guiomard (AC)";"9222";"40";"14";"4600";"2950"
"Sena Madureira (AC)";"4908";"31";"15";"1900";"-"
"Tarauacá (AC)";"6014";"-";"25";"2400";"-"
"Xapuri (AC)";"6146";"40";"25";"2520";"1600"
"Porto Acre (AC)";"5022";"15";"14";"1900";"1370"
"Alvarães (AM)";"1051";"-";"-";"10";"-"
"Amaturá (AM)";"816";"-";"-";"-";"-"
"Anamã (AM)";"404";"-";"-";"45";"-"
"Anori (AM)";"620";"-";"-";"-";"-"
"Apuí (AM)";"2404";"250";"4";"700";"-"
"Atalaia do Norte (AM)";"493";"-";"3";"-";"-"
"Autazes (AM)";"4733";"6";"-";"20";"-"
"Barcelos (AM)";"204";"-";"-";"-";"-"
"Barreirinha (AM)";"177";"-";"-";"2";"-"
"Benjamin Constant (AM)";"1034";"-";"8";"-";"-"
"Beruri (AM)";"427";"-";"-";"-";"-"
"Boa Vista do Ramos (AM)";"565";"-";"-";"2";"-"
"Boca do Acre (AM)";"3634";"4";"20";"800";"1100"
"Borba (AM)";"3361";"3";"-";"15";"-"
"Caapiranga (AM)";"407";"-";"-";"5";"-"
"Canutama (AM)";"4887";"10";"-";"800";"2057"
"Carauari (AM)";"1301";"2";"4";"9";"-"
"Careiro (AM)";"1290";"5";"-";"7";"-"
"Careiro da Várzea (AM)";"413";"-";"-";"10";"-"
"Coari (AM)";"3470";"20";"10";"45";"-"
"Codajás (AM)";"3747";"-";"-";"-";"-"
"Eirunepé (AM)";"1906";"-";"100";"75";"-"
"Envira (AM)";"1991";"16";"42";"520";"-"
"Fonte Boa (AM)";"331";"-";"-";"-";"-"
"Guajará (AM)";"449";"-";"4";"31";"65"
"Humaitá (AM)";"28120";"260";"5";"2500";"17000"
"Ipixuna (AM)";"340";"-";"8";"40";"-"
"Iranduba (AM)";"2923";"-";"5";"-";"-"
"Itacoatiara (AM)";"5447";"7";"-";"8";"-"
"Itamarati (AM)";"457";"-";"5";"40";"-"
"Itapiranga (AM)";"455";"-";"-";"-";"-"
"Japurá (AM)";"213";"-";"-";"-";"-"
"Juruá (AM)";"157";"-";"-";"13";"-"
"Jutaí (AM)";"515";"-";"-";"-";"-"
"Lábrea (AM)";"7915";"66";"18";"115";"4250"
"Manacapuru (AM)";"14034";"-";"-";"40";"-"
"Manaquiri (AM)";"2283";"-";"-";"-";"-"
"Manaus (AM)";"664";"-";"-";"-";"-"
"Manicoré (AM)";"11135";"-";"-";"-";"-"
"Maraã (AM)";"90";"-";"-";"-";"-"
"Maués (AM)";"2760";"-";"40";"3";"-"
"Nhamundá (AM)";"671";"-";"4";"13";"-"
"Nova Olinda do Norte (AM)";"1827";"6";"-";"-";"-"
"Novo Airão (AM)";"464";"-";"-";"-";"-"
"Novo Aripuanã (AM)";"2330";"-";"-";"30";"-"
"Parintins (AM)";"3321";"-";"3";"3";"-"
"Pauini (AM)";"1517";"-";"-";"94";"-"
"Presidente Figueiredo (AM)";"7165";"10";"5500";"-";"-"
"Rio Preto da Eva (AM)";"2393";"45";"-";"-";"-"
"Santa Isabel do Rio Negro (AM)";"225";"-";"-";"-";"-"
"Santo Antônio do Içá (AM)";"645";"-";"1";"-";"-"
"São Gabriel da Cachoeira (AM)";"1384";"-";"5";"5";"-"
"São Paulo de Olivença (AM)";"703";"1";"11";"-";"-"
"São Sebastião do Uatumã (AM)";"597";"4";"1";"44";"-"
"Silves (AM)";"322";"7";"-";"-";"-"
"Tabatinga (AM)";"280";"-";"2";"-";"-"
"Tapauá (AM)";"3036";"-";"-";"31";"-"
"Tefé (AM)";"10387";"-";"4";"30";"-"
"Tonantins (AM)";"380";"-";"4";"1";"-"
"Uarini (AM)";"1209";"-";"1";"-";"-"
"Urucará (AM)";"1163";"-";"-";"21";"-"
"Urucurituba (AM)";"405";"-";"-";"20";"-"
"Amajari (RR)";"3535";"-";"10";"771";"1310"
"Alto Alegre (RR)";"43043";"-";"-";"4338";"36838"
"Boa Vista (RR)";"26585";"-";"50";"2500";"23000"
"Bonfim (RR)";"55995";"-";"35";"4207";"42723"
"Cantá (RR)";"6800";"-";"10";"1460";"3205"
"Caracaraí (RR)";"1945";"-";"-";"145";"685"
"Caroebe (RR)";"3544";"-";"5";"96";"-"
"Iracema (RR)";"4463";"-";"-";"700";"3620"
"Mucajaí (RR)";"8018";"-";"-";"1600";"5514"
"Normandia (RR)";"4626";"-";"-";"500";"-"
"Pacaraima (RR)";"904";"-";"-";"120";"-"
"Rorainópolis (RR)";"3416";"-";"30";"257";"-"
"São João da Baliza (RR)";"4600";"-";"10";"1250";"320"
"São Luiz (RR)";"1107";"-";"-";"14";"-"
"Uiramutã (RR)";"784";"-";"10";"200";"-"
"Abaetetuba (PA)";"28075";"20";"100";"90";"-"
"Abel Figueiredo (PA)";"6405";"-";"11";"2000";"4321"
"Acará (PA)";"54932";"-";"-";"50";"-"
"Afuá (PA)";"150";"-";"-";"-";"-"
"Água Azul do Norte (PA)";"6943";"-";"-";"5410";"1100"
"Alenquer (PA)";"16385";"-";"16";"2000";"-"
"Almeirim (PA)";"787";"25";"8";"95";"-"
"Altamira (PA)";"36264";"-";"20";"10500";"14000"
"Anajás (PA)";"12667";"-";"-";"-";"-"
"Ananindeua (PA)";"38";"-";"-";"-";"-"
"Anapu (PA)";"13555";"-";"-";"1000";"-"
"Augusto Corrêa (PA)";"2925";"-";"-";"60";"-"
"Aurora do Pará (PA)";"7978";"-";"-";"850";"-"
"Aveiro (PA)";"1877";"-";"8";"80";"-"
"Bagre (PA)";"11825";"-";"-";"-";"-"
"Baião (PA)";"25400";"30";"-";"800";"-"
"Bannach (PA)";"2151";"-";"-";"-";"2097"
"Barcarena (PA)";"14114";"-";"5";"300";"-"
"Belém (PA)";"170";"-";"-";"-";"-"
"Belterra (PA)";"47688";"-";"-";"15900";"30000"
"Benevides (PA)";"793";"-";"-";"-";"-"
"Bom Jesus do Tocantins (PA)";"609";"-";"-";"300";"-"
"Bonito (PA)";"9740";"-";"-";"70";"-"
"Bragança (PA)";"5539";"-";"-";"400";"-"
"Brasil Novo (PA)";"11045";"-";"2";"1350";"-"
"Brejo Grande do Araguaia (PA)";"1820";"-";"-";"900";"700"
"Breu Branco (PA)";"6993";"-";"-";"1100";"5500"
"Breves (PA)";"3386";"-";"-";"-";"-"
"Bujaru (PA)";"8677";"-";"-";"120";"-"
"Cachoeira do Piriá (PA)";"2151";"-";"-";"70";"-"
"Cachoeira do Arari (PA)";"12750";"-";"-";"-";"-"
"Cametá (PA)";"44855";"16";"-";"264";"-"
"Canaã dos Carajás (PA)";"4891";"-";"-";"4000";"-"
"Capanema (PA)";"8311";"-";"-";"300";"-"
"Capitão Poço (PA)";"19805";"-";"-";"1500";"-"
"Castanhal (PA)";"12354";"-";"-";"400";"-"
"Chaves (PA)";"70";"-";"-";"-";"-"
"Colares (PA)";"415";"-";"-";"10";"-"
"Conceição do Araguaia (PA)";"32117";"-";"-";"10000";"20910"
"Concórdia do Pará (PA)";"28840";"-";"-";"100";"-"
"Cumaru do Norte (PA)";"81800";"-";"-";"30500";"50000"
"Curionópolis (PA)";"6031";"-";"-";"3000";"2200"
"Curralinho (PA)";"3124";"-";"4";"-";"-"
"Curuá (PA)";"677";"-";"-";"50";"-"
"Curuçá (PA)";"1435";"-";"-";"20";"-"
"Dom Eliseu (PA)";"201644";"-";"-";"33000";"160000"
"Eldorado do Carajás (PA)";"5802";"-";"-";"4400";"-"
"Faro (PA)";"102";"-";"1";"2";"-"
"Floresta do Araguaia (PA)";"17369";"-";"-";"-";"10000"
"Garrafão do Norte (PA)";"8360";"-";"-";"800";"-"
"Goianésia do Pará (PA)";"14310";"-";"-";"2000";"11260"
"Gurupá (PA)";"1077";"-";"4";"30";"-"
"Igarapé-Açu (PA)";"10540";"-";"15";"130";"-"
"Igarapé-Miri (PA)";"54814";"-";"10";"40";"-"
"Inhangapi (PA)";"5193";"-";"-";"10";"-"
"Ipixuna do Pará (PA)";"15302";"-";"-";"4000";"8000"
"Irituia (PA)";"4208";"-";"-";"500";"-"
"Itaituba (PA)";"3014";"-";"14";"630";"-"
"Itupiranga (PA)";"8360";"-";"-";"3620";"-"
"Jacareacanga (PA)";"5002";"-";"30";"800";"800"
"Jacundá (PA)";"450";"-";"-";"120";"250"
"Juruti (PA)";"5226";"-";"1";"6";"-"
"Limoeiro do Ajuru (PA)";"9861";"-";"-";"18";"-"
"Mãe do Rio (PA)";"3048";"-";"-";"600";"-"
"Magalhães Barata (PA)";"1193";"-";"-";"30";"-"
"Marabá (PA)";"17737";"-";"-";"8945";"540"
"Maracanã (PA)";"2527";"-";"-";"250";"-"
"Marapanim (PA)";"1508";"-";"-";"40";"-"
"Marituba (PA)";"...";"...";"...";"...";"..."
"Medicilândia (PA)";"57764";"-";"-";"2100";"-"
"Melgaço (PA)";"6804";"-";"-";"-";"-"
"Mocajuba (PA)";"18098";"-";"-";"3000";"-"
"Moju (PA)";"42665";"5";"-";"800";"-"
"Mojuí dos Campos (PA)";"94043";"-";"10";"30500";"60000"
"Monte Alegre (PA)";"15631";"-";"15";"2300";"700"
"Muaná (PA)";"3390";"-";"-";"-";"-"
"Nova Esperança do Piriá (PA)";"10398";"-";"-";"6000";"-"
"Nova Ipixuna (PA)";"1071";"-";"-";"600";"-"
"Nova Timboteua (PA)";"2863";"-";"-";"140";"-"
"Novo Progresso (PA)";"35847";"-";"5";"4000";"28472"
"Novo Repartimento (PA)";"7566";"-";"-";"148";"-"
"Óbidos (PA)";"8423";"-";"12";"45";"-"
"Oeiras do Pará (PA)";"10726";"-";"-";"84";"-"
"Oriximiná (PA)";"14459";"-";"5";"130";"-"
"Ourém (PA)";"2463";"-";"-";"200";"-"
"Ourilândia do Norte (PA)";"1900";"-";"-";"170";"-"
"Pacajá (PA)";"14611";"20";"10";"1610";"-"
"Palestina do Pará (PA)";"790";"-";"-";"500";"-"
"Paragominas (PA)";"320020";"-";"-";"37000";"270000"
"Parauapebas (PA)";"5671";"-";"-";"2000";"-"
"Pau D'Arco (PA)";"8275";"-";"-";"3000";"5000"
"Peixe-Boi (PA)";"1321";"-";"-";"350";"-"
"Piçarra (PA)";"3367";"-";"-";"2500";"200"
"Placas (PA)";"22011";"-";"5";"2000";"2000"
"Ponta de Pedras (PA)";"3365";"-";"-";"-";"-"
"Portel (PA)";"21780";"-";"-";"-";"-"
"Porto de Moz (PA)";"1226";"-";"15";"140";"-"
"Prainha (PA)";"4525";"15";"6";"100";"-"
"Primavera (PA)";"588";"-";"-";"230";"-"
"Quatipuru (PA)";"833";"-";"-";"40";"-"
"Redenção (PA)";"23330";"-";"-";"9000";"11603"
"Rio Maria (PA)";"3474";"-";"-";"1983";"1151"
"Rondon do Pará (PA)";"112139";"-";"-";"31000";"73500"
"Rurópolis (PA)";"10501";"-";"10";"1750";"620"
"Salinópolis (PA)";"827";"-";"-";"120";"-"
"Salvaterra (PA)";"1740";"-";"-";"-";"-"
"Santa Bárbara do Pará (PA)";"1975";"-";"-";"30";"-"
"Santa Izabel do Pará (PA)";"9043";"-";"-";"-";"-"
"Santa Luzia do Pará (PA)";"2000";"-";"-";"350";"-"
"Santa Maria das Barreiras (PA)";"178500";"-";"15";"30000";"112000"
"Santa Maria do Pará (PA)";"7311";"-";"-";"700";"-"
"Santana do Araguaia (PA)";"225990";"-";"-";"60000";"150000"
"Santarém (PA)";"54411";"-";"15";"18500";"30000"
"Santarém Novo (PA)";"1110";"-";"-";"400";"-"
"Santo Antônio do Tauá (PA)";"4114";"-";"-";"60";"-"
"São Caetano de Odivelas (PA)";"1896";"-";"10";"60";"-"
"São Domingos do Araguaia (PA)";"3615";"-";"-";"900";"-"
"São Domingos do Capim (PA)";"17500";"-";"-";"350";"-"
"São Félix do Xingu (PA)";"33958";"-";"-";"10000";"15000"
"São Francisco do Pará (PA)";"6172";"-";"100";"300";"-"
"São Geraldo do Araguaia (PA)";"8955";"-";"-";"6500";"-"
"São João da Ponta (PA)";"734";"-";"-";"22";"-"
"São João de Pirabas (PA)";"492";"-";"-";"80";"-"
"São João do Araguaia (PA)";"1405";"-";"-";"280";"-"
"São Miguel do Guamá (PA)";"6953";"-";"-";"1000";"-"
"São Sebastião da Boa Vista (PA)";"5070";"-";"-";"-";"-"
"Sapucaia (PA)";"2061";"-";"-";"1641";"400"
"Senador José Porfírio (PA)";"6286";"-";"15";"650";"-"
"Soure (PA)";"125";"-";"-";"-";"-"
"Tailândia (PA)";"100035";"-";"-";"18000";"17500"
"Terra Alta (PA)";"916";"-";"-";"5";"-"
"Terra Santa (PA)";"92";"-";"5";"10";"-"
"Tomé-Açu (PA)";"62660";"-";"-";"500";"5000"
"Tracuateua (PA)";"3576";"-";"-";"100";"-"
"Trairão (PA)";"12646";"6";"10";"2300";"2100"
"Tucumã (PA)";"14088";"-";"-";"4000";"3000"
"Tucuruí (PA)";"242";"-";"-";"54";"-"
"Ulianópolis (PA)";"109378";"-";"17000";"10700";"75500"
"Uruará (PA)";"23810";"-";"-";"1800";"800"
"Vigia (PA)";"795";"-";"-";"-";"-"
"Viseu (PA)";"8585";"-";"-";"140";"-"
"Vitória do Xingu (PA)";"10806";"-";"4";"1600";"2600"
"Xinguara (PA)";"15305";"-";"-";"9830";"5200"
"Serra do Navio (AP)";"916";"-";"-";"65";"-"
"Amapá (AP)";"507";"-";"70";"25";"-"
"Pedra Branca do Amapari (AP)";"2053";"-";"20";"139";"300"
"Calçoene (AP)";"1989";"-";"-";"80";"-"
"Cutias (AP)";"434";"-";"-";"72";"-"
"Ferreira Gomes (AP)";"1507";"-";"-";"93";"800"
"Itaubal (AP)";"663";"-";"-";"184";"-"
"Laranjal do Jari (AP)";"1739";"-";"15";"165";"-"
"Macapá (AP)";"7916";"-";"36";"298";"5500"
"Mazagão (AP)";"1533";"-";"25";"74";"-"
"Oiapoque (AP)";"1459";"-";"22";"12";"-"
"Porto Grande (AP)";"2174";"-";"-";"220";"400"
"Pracuúba (AP)";"637";"-";"-";"53";"-"
"Santana (AP)";"1023";"-";"10";"56";"-"
"Tartarugalzinho (AP)";"1781";"-";"12";"216";"500"
"Vitória do Jari (AP)";"1103";"-";"10";"48";"-"
"Abreulândia (TO)";"19964";"-";"10";"4100";"15088"
"Aguiarnópolis (TO)";"410";"-";"-";"65";"-"
"Aliança do Tocantins (TO)";"14148";"-";"-";"1280";"12240"
"Almas (TO)";"21878";"-";"-";"5599";"16197"
"Alvorada (TO)";"37078";"-";"-";"5620";"28916"
"Ananás (TO)";"2392";"-";"-";"189";"1800"
"Angico (TO)";"1641";"-";"-";"700";"400"
"Aparecida do Rio Negro (TO)";"47741";"-";"-";"12707";"33071"
"Aragominas (TO)";"3709";"-";"5";"850";"2678"
"Araguacema (TO)";"62288";"-";"-";"15020";"43037"
"Araguaçu (TO)";"21822";"-";"20";"2828";"17735"
"Araguaína (TO)";"13977";"-";"5";"4000";"9709"
"Araguanã (TO)";"1726";"-";"-";"1000";"718"
"Araguatins (TO)";"1100";"-";"10";"300";"-"
"Arapoema (TO)";"2478";"-";"-";"800";"1602"
"Arraias (TO)";"315";"-";"40";"50";"-"
"Augustinópolis (TO)";"132";"-";"2";"15";"-"
"Aurora do Tocantins (TO)";"207";"-";"40";"25";"-"
"Axixá do Tocantins (TO)";"331";"-";"-";"35";"-"
"Babaçulândia (TO)";"4328";"-";"40";"413";"1828"
"Bandeirantes do Tocantins (TO)";"119";"-";"-";"25";"-"
"Barra do Ouro (TO)";"12135";"-";"-";"1300";"10509"
"Barrolândia (TO)";"2486";"-";"-";"530";"1604"
"Bernardo Sayão (TO)";"6208";"-";"10";"1500";"4570"
"Bom Jesus do Tocantins (TO)";"26797";"-";"-";"7707";"18204"
"Brasilândia do Tocantins (TO)";"1845";"-";"-";"500";"1253"
"Brejinho de Nazaré (TO)";"39100";"-";"5";"13630";"24629"
"Buriti do Tocantins (TO)";"82";"-";"-";"15";"-"
"Cachoeirinha (TO)";"199";"-";"-";"50";"-"
"Campos Lindos (TO)";"138460";"-";"10";"53620";"77600"
"Cariri do Tocantins (TO)";"25471";"-";"-";"2020";"22540"
"Carmolândia (TO)";"151";"-";"-";"148";"-"
"Carrasco Bonito (TO)";"291";"-";"-";"60";"-"
"Caseara (TO)";"79521";"-";"-";"22012";"52023"
"Centenário (TO)";"8657";"-";"-";"2800";"4665"
"Chapada de Areia (TO)";"3889";"-";"-";"1030";"1925"
"Chapada da Natividade (TO)";"24526";"-";"16";"8800";"15585"
"Colinas do Tocantins (TO)";"255";"-";"-";"20";"-"
"Combinado (TO)";"279";"-";"40";"20";"-"
"Conceição do Tocantins (TO)";"302";"-";"16";"20";"197"
"Couto Magalhães (TO)";"21056";"-";"16";"4735";"14651"
"Cristalândia (TO)";"21827";"-";"-";"5930";"11467"
"Crixás do Tocantins (TO)";"7749";"-";"-";"1272";"5866"
"Darcinópolis (TO)";"18575";"-";"-";"6000";"12000"
"Dianópolis (TO)";"34304";"-";"40";"11574";"17791"
"Divinópolis do Tocantins (TO)";"32847";"-";"30";"4500";"27129"
"Dois Irmãos do Tocantins (TO)";"19944";"-";"-";"3200";"15115"
"Dueré (TO)";"20133";"-";"40";"250";"5068"
"Esperantina (TO)";"173";"-";"-";"20";"-"
"Fátima (TO)";"7888";"-";"-";"2094";"5473"
"Figueirópolis (TO)";"37140";"-";"-";"3050";"32372"
"Filadélfia (TO)";"340";"-";"-";"240";"-"
"Formoso do Araguaia (TO)";"41320";"-";"32";"490";"9397"
"Tabocão (TO)";"9728";"-";"-";"5091";"4436"
"Goianorte (TO)";"18600";"-";"-";"4189";"14000"
"Goiatins (TO)";"37410";"-";"-";"11200";"24700"
"Guaraí (TO)";"17396";"-";"-";"3843";"12182"
"Gurupi (TO)";"25643";"-";"50";"3251";"21638"
"Ipueiras (TO)";"6620";"-";"12";"1365";"4904"
"Itacajá (TO)";"17609";"-";"-";"3379";"12800"
"Itaguatins (TO)";"179";"-";"-";"20";"-"
"Itapiratins (TO)";"24222";"-";"-";"8613";"14439"
"Itaporã do Tocantins (TO)";"104";"-";"-";"9";"-"
"Jaú do Tocantins (TO)";"2626";"-";"-";"550";"1546"
"Juarina (TO)";"1836";"-";"-";"400";"1310"
"Lagoa da Confusão (TO)";"138639";"-";"-";"4500";"52342"
"Lagoa do Tocantins (TO)";"6188";"-";"2";"250";"5368"
"Lajeado (TO)";"52";"-";"-";"6";"-"
"Lavandeira (TO)";"90";"-";"16";"15";"-"
"Lizarda (TO)";"11056";"-";"-";"2970";"7018"
"Luzinópolis (TO)";"1009";"4";"-";"400";"400"
"Marianópolis do Tocantins (TO)";"50862";"-";"10";"7620";"39863"
"Mateiros (TO)";"60699";"-";"3";"7906";"51725"
"Maurilândia do Tocantins (TO)";"577";"-";"-";"200";"-"
"Miracema do Tocantins (TO)";"24193";"-";"-";"3362";"19211"
"Miranorte (TO)";"21082";"-";"-";"7270";"13495"
"Monte do Carmo (TO)";"75820";"-";"15";"21636";"52086"
"Monte Santo do Tocantins (TO)";"3965";"-";"25";"920";"2847"
"Palmeiras do Tocantins (TO)";"1194";"-";"-";"300";"600"
"Muricilândia (TO)";"4724";"-";"-";"300";"4379"
"Natividade (TO)";"9208";"-";"13";"3880";"5219"
"Nazaré (TO)";"1078";"-";"-";"300";"500"
"Nova Olinda (TO)";"1056";"-";"-";"160";"550"
"Nova Rosalândia (TO)";"20683";"-";"5";"9050";"9520"
"Novo Acordo (TO)";"18460";"-";"5";"1250";"17095"
"Novo Alegre (TO)";"94";"-";"14";"15";"-"
"Novo Jardim (TO)";"582";"-";"30";"20";"460"
"Oliveira de Fátima (TO)";"4084";"-";"-";"1150";"2843"
"Palmeirante (TO)";"8352";"-";"-";"3000";"5000"
"Palmeirópolis (TO)";"6607";"-";"-";"315";"4822"
"Paraíso do Tocantins (TO)";"5628";"-";"10";"1750";"3368"
"Paranã (TO)";"1053";"-";"23";"200";"400"
"Pau D'Arco (TO)";"2436";"-";"-";"550";"1357"
"Pedro Afonso (TO)";"69260";"-";"35000";"11000";"22000"
"Peixe (TO)";"59037";"-";"30";"4828";"50379"
"Pequizeiro (TO)";"3860";"-";"25";"1600";"2000"
"Colméia (TO)";"203";"-";"50";"40";"-"
"Pindorama do Tocantins (TO)";"4677";"-";"1";"200";"4400"
"Piraquê (TO)";"10559";"-";"13";"2000";"7793"
"Pium (TO)";"73504";"-";"50";"12015";"41646"
"Ponte Alta do Bom Jesus (TO)";"448";"-";"45";"30";"293"
"Ponte Alta do Tocantins (TO)";"1618";"-";"-";"400";"872"
"Porto Alegre do Tocantins (TO)";"3029";"-";"8";"1015";"1950"
"Porto Nacional (TO)";"113314";"-";"50";"34567";"74701"
"Praia Norte (TO)";"131";"-";"-";"24";"-"
"Presidente Kennedy (TO)";"39";"-";"-";"15";"-"
"Pugmil (TO)";"9479";"-";"20";"2050";"6741"
"Recursolândia (TO)";"297";"-";"-";"100";"-"
"Riachinho (TO)";"1138";"-";"-";"300";"500"
"Rio da Conceição (TO)";"7957";"-";"10";"2760";"5150"
"Rio dos Bois (TO)";"9209";"-";"-";"905";"6079"
"Rio Sono (TO)";"13587";"-";"-";"4500";"8600"
"Sampaio (TO)";"629";"-";"-";"33";"-"
"Sandolândia (TO)";"1812";"-";"10";"465";"1124"
"Santa Fé do Araguaia (TO)";"15420";"-";"-";"3000";"11735"
"Santa Maria do Tocantins (TO)";"20907";"-";"-";"5347";"13800"
"Santa Rita do Tocantins (TO)";"42692";"-";"10";"6734";"26067"
"Santa Rosa do Tocantins (TO)";"55613";"-";"3";"15750";"37302"
"Santa Tereza do Tocantins (TO)";"1019";"-";"5";"300";"680"
"Santa Terezinha do Tocantins (TO)";"226";"-";"-";"90";"-"
"São Bento do Tocantins (TO)";"2115";"-";"-";"735";"600"
"São Félix do Tocantins (TO)";"313";"-";"10";"50";"240"
"São Miguel do Tocantins (TO)";"250";"-";"-";"42";"-"
"São Salvador do Tocantins (TO)";"694";"-";"-";"80";"180"
"São Sebastião do Tocantins (TO)";"96";"-";"-";"20";"-"
"São Valério (TO)";"24620";"-";"30";"3480";"20640"
"Silvanópolis (TO)";"26848";"-";"5";"4750";"21130"
"Sítio Novo do Tocantins (TO)";"194";"-";"-";"30";"-"
"Sucupira (TO)";"24241";"-";"-";"1200";"22409"
"Taguatinga (TO)";"548";"-";"28";"50";"315"
"Taipas do Tocantins (TO)";"150";"-";"30";"25";"40"
"Talismã (TO)";"18692";"-";"-";"1290";"15837"
"Palmas (TO)";"23551";"-";"19";"7701";"15414"
"Tocantínia (TO)";"4653";"-";"-";"1000";"2900"
